-0.097225	-0.10631	-0.11673	-0.12855	-0.14158	-0.15506	-0.16749	-0.17671	-0.18085	-0.17947	-0.17379	-0.16592	-0.15781	-0.15069	-0.1451	-0.14108	-0.13834	-0.13646	-0.13504	-0.13375	-0.13247	-0.13121	-0.13012	-0.12935	-0.12903	-0.12919	-0.12982	-0.13084	-0.13219	-0.13384	-0.13582	-0.13831	-0.14162	-0.14635	-0.15356	-0.16514	-0.18396	-0.21144	-0.23655	-0.23363	-0.20273	-0.16966	-0.14552	-0.12894	-0.11703	-0.1079	-0.10046	-0.094094	-0.088461	-0.083362
-0.095149	-0.10487	-0.11644	-0.13028	-0.1466	-0.16485	-0.1829	-0.19669	-0.202	-0.1978	-0.18701	-0.17392	-0.16176	-0.15209	-0.14526	-0.14095	-0.1385	-0.13714	-0.13615	-0.13501	-0.13354	-0.13188	-0.13033	-0.1292	-0.12869	-0.12884	-0.12956	-0.13071	-0.13212	-0.13368	-0.13537	-0.1373	-0.13974	-0.14323	-0.14889	-0.15924	-0.18045	-0.22347	-0.27649	-0.27325	-0.21385	-0.16474	-0.13784	-0.12224	-0.11174	-0.10375	-0.097116	-0.091295	-0.086012	-0.081131
-0.091629	-0.10157	-0.11385	-0.12943	-0.14943	-0.17446	-0.20247	-0.22575	-0.23345	-0.22292	-0.20228	-0.18069	-0.16301	-0.15053	-0.14285	-0.13894	-0.13758	-0.1375	-0.13746	-0.13665	-0.13484	-0.13244	-0.13011	-0.12842	-0.12767	-0.12789	-0.12888	-0.13033	-0.13193	-0.13342	-0.1347	-0.13582	-0.1369	-0.13816	-0.14004	-0.14375	-0.1533	-0.17889	-0.21659	-0.21293	-0.16806	-0.13577	-0.12013	-0.11096	-0.10414	-0.098325	-0.093006	-0.087979	-0.083171	-0.078571
-0.086476	-0.095983	-0.10801	-0.1241	-0.14685	-0.18	-0.22553	-0.27081	-0.28413	-0.25775	-0.21761	-0.18296	-0.1588	-0.1441	-0.13664	-0.13436	-0.13541	-0.13786	-0.13967	-0.13938	-0.13678	-0.13291	-0.12919	-0.12663	-0.12565	-0.12615	-0.12773	-0.12983	-0.13186	-0.13338	-0.13422	-0.13438	-0.1339	-0.13257	-0.12972	-0.12371	-0.11024	-0.079036	-0.034329	-0.030063	-0.066519	-0.090233	-0.097221	-0.097677	-0.095648	-0.092452	-0.088624	-0.084452	-0.080127	-0.075794
-0.07973	-0.087978	-0.098298	-0.11237	-0.13385	-0.1709	-0.2375	-0.32343	-0.35153	-0.29633	-0.22449	-0.1739	-0.14499	-0.13051	-0.12528	-0.12641	-0.13181	-0.13893	-0.14424	-0.14466	-0.14004	-0.13316	-0.127	-0.12319	-0.12208	-0.12329	-0.12607	-0.12942	-0.13233	-0.13407	-0.13441	-0.13355	-0.13167	-0.12837	-0.1222	-0.10993	-0.084836	-0.03589	0.024649	0.029815	-0.020881	-0.061302	-0.079582	-0.086534	-0.088223	-0.087176	-0.084573	-0.081069	-0.077086	-0.072915
-0.071765	-0.078035	-0.085125	-0.093904	-0.10676	-0.13044	-0.18157	-0.26735	-0.32267	-0.28151	-0.19785	-0.14243	-0.11733	-0.10803	-0.10771	-0.11411	-0.12626	-0.14182	-0.15427	-0.15553	-0.14557	-0.13238	-0.12224	-0.11695	-0.11614	-0.11884	-0.12381	-0.12949	-0.13409	-0.13625	-0.13581	-0.13365	-0.13068	-0.12679	-0.12025	-0.10778	-0.085217	-0.050975	-0.01707	-0.010494	-0.03208	-0.056332	-0.071993	-0.080136	-0.083344	-0.083383	-0.081389	-0.078143	-0.074217	-0.070014
-0.063295	-0.067357	-0.070477	-0.071944	-0.070676	-0.063945	-0.045944	-0.031413	-0.070462	-0.1099	-0.096462	-0.080105	-0.075518	-0.077241	-0.083649	-0.095853	-0.11648	-0.14687	-0.17597	-0.1781	-0.15336	-0.12767	-0.11231	-0.10617	-0.10666	-0.11204	-0.12079	-0.13072	-0.1385	-0.14123	-0.13892	-0.13436	-0.13034	-0.12755	-0.12407	-0.1159	-0.099484	-0.076218	-0.054818	-0.045977	-0.050993	-0.061914	-0.071908	-0.078503	-0.08153	-0.081572	-0.07942	-0.075872	-0.071603	-0.067103
-0.055193	-0.057597	-0.05744	-0.05253	-0.039196	-0.0098966	0.049849	0.13758	0.18215	0.12938	0.045285	-0.0048918	-0.028375	-0.042145	-0.054055	-0.069222	-0.094961	-0.14279	-0.2012	-0.20408	-0.15168	-0.11065	-0.093206	-0.088935	-0.092355	-0.10173	-0.11636	-0.13408	-0.14854	-0.15183	-0.14422	-0.13413	-0.12832	-0.1286	-0.13258	-0.13312	-0.12204	-0.10053	-0.079254	-0.066924	-0.064863	-0.069281	-0.075558	-0.080535	-0.082731	-0.081953	-0.078827	-0.07429	-0.069186	-0.064087
-0.04816	-0.050273	-0.048954	-0.041003	-0.022158	0.013081	0.071179	0.1505	0.2123	0.18966	0.10808	0.044975	0.010753	-0.0085589	-0.021541	-0.033217	-0.049479	-0.081509	-0.12585	-0.12926	-0.092054	-0.068221	-0.062239	-0.064571	-0.072269	-0.085946	-0.10803	-0.13979	-0.17022	-0.17381	-0.15107	-0.1287	-0.11959	-0.12507	-0.14369	-0.16266	-0.15579	-0.12368	-0.0933	-0.076712	-0.072206	-0.075095	-0.080797	-0.085564	-0.087045	-0.084729	-0.079621	-0.073226	-0.06672	-0.060727
-0.042327	-0.046181	-0.046928	-0.040187	-0.021186	0.012438	0.059083	0.11097	0.14744	0.14235	0.10382	0.064122	0.036401	0.019246	0.0095908	0.0062402	0.011723	0.035296	0.072304	0.068688	0.024116	-0.0080897	-0.024288	-0.035327	-0.046513	-0.061829	-0.088048	-0.13642	-0.19533	-0.19875	-0.14722	-0.10826	-0.096308	-0.10666	-0.1442	-0.19477	-0.19146	-0.13461	-0.091329	-0.074161	-0.072205	-0.078235	-0.087202	-0.094211	-0.095436	-0.090372	-0.081625	-0.07217	-0.063671	-0.056607
